,NSE,BBG,BBG_Short,Reuters
0,ACC,ACC IN Equity,ACC ,ACC
1,ADANIENT,ADE IN Equity,ADE ,ADEL
2,ADANIPORTS,ADSEZ IN Equity,ADSEZ ,APSE
3,AMARAJABAT,AMRJ IN Equity,AMRJ ,AMAR
4,AMBUJACEM,ACEM IN Equity,ACEM ,ABUJ
5,APOLLOHOSP,APHS IN Equity,APHS ,APLH
6,APOLLOTYRE,APTY IN Equity,APTY ,APLO
7,ASHOKLEY,AL IN Equity,AL ,ASOK
8,ASIANPAINT,APNT IN Equity,APNT ,ASPN
9,AUROPHARMA,ARBP IN Equity,ARBP ,ARBN
10,AXISBANK,AXSB IN Equity,AXSB ,AXBK
11,BAJAJ-AUTO,BJAUT IN Equity,BJAUT ,BAJA
12,BAJFINANCE,BAF IN Equity,BAF ,BJFN
13,BANKBARODA,BOB IN Equity,BOB ,BOB
14,BATAINDIA,BATA IN Equity,BATA ,BATA
15,BEL,BHE IN Equity,BHE ,BAJE
16,BHARATFORG,BHFC IN Equity,BHFC ,BFRG
17,BHARTIARTL,BHARTI IN Equity,BHARTI ,BRTI
18,BHEL,BHEL IN Equity,BHEL ,BHEL
19,BIOCON,BIOS IN Equity,BIOS ,BION
20,BOSCHLTD,BOS IN Equity,BOS ,BOSH
21,BPCL,BPCL IN Equity,BPCL ,BPCL
22,BRITANNIA,BRIT IN Equity,BRIT ,BRIT
23,ZYDUSLIFE,ZYDUSLIFE IN Equity,ZYDUSLIFE,ZYDU
24,CANBK,CBK IN Equity,CBK ,CNBK
25,CIPLA,CIPLA IN Equity,CIPLA ,CIPL
26,COALINDIA,COAL IN Equity,COAL ,COAL
27,COLPAL,CLGT IN Equity,CLGT ,COLG
28,CONCOR,CCRI IN Equity,CCRI ,CCRI
29,DABUR,DABUR IN Equity,DABUR ,DABU
30,DIVISLAB,DIVI IN Equity,DIVI ,DIVI
31,DLF,DLFU IN Equity,DLFU ,DLF
32,DRREDDY,DRRD IN Equity,DRRD ,REDY
33,EICHERMOT,EIM IN Equity,EIM ,EICH
34,EXIDEIND,EXID IN Equity,EXID ,EXID
35,FEDERALBNK,FB IN Equity,FB ,FED
36,GAIL,GAIL IN Equity,GAIL ,GAIL
37,GLENMARK,GNP IN Equity,GNP ,GLEN
38,GMRINFRA,GMRI IN Equity,GMRI ,GMRI
39,GODREJCP,GCPL IN Equity,GCPL ,GOCP
40,GRASIM,GRASIM IN Equity,GRASIM ,GRAS
41,HAVELLS,HAVL IN Equity,HAVL ,HVEL
42,HCLTECH,HCLT IN Equity,HCLT ,HCLT
43,HDFC,HDFC IN Equity,HDFC ,HDFC
44,HDFCBANK,HDFCB IN Equity,HDFCB ,HDBK
45,HEROMOTOCO,HMCL IN Equity,HMCL ,HROM
46,HINDALCO,HNDL IN Equity,HNDL ,HALC
47,HINDPETRO,HPCL IN Equity,HPCL ,HPCL
48,HINDUNILVR,HUVR IN Equity,HUVR ,HLL
49,IBULHSGFIN,IHFL IN Equity,IHFL ,INBF
50,ICICIBANK,ICICIBC IN Equity,ICICIBC ,ICBK
51,IDEA,IDEA IN Equity,IDEA ,VODA
52,IGL,IGL IN Equity,IGL ,IGAS
53,INDUSINDBK,IIB IN Equity,IIB ,INBK
54,INFY,INFO IN Equity,INFO ,INFY
55,IOC,IOCL IN Equity,IOCL ,IOC
56,ITC,ITC IN Equity,ITC ,ITC
57,JINDALSTEL,JSP IN Equity,JSP ,JNSP
58,JSWSTEEL,JSTL IN Equity,JSTL ,JSTL
59,JUBLFOOD,JUBI IN Equity,JUBI ,JUBI
60,KOTAKBANK,KMB IN Equity,KMB ,KTKM
